text,author
"Сегодня EA объявила об изменениях в системе DRM Spore


Увеличение лимита установок с 3 до 5.

Данные от самой EA:


Общее кол-во активированных копий: 437 138
Активированных только на 1 компьютере: 86%
Активированных на 2х компьютерах: 14%
Активированных на 3х компьютерах: 0.4%

Пяти установок одной игры должно хватить практически каждому.

Аккаунт теперь привязан не к копии, а к установке. У каждой установки будет своё имя (screen name), история достижений и т.д…

В случае отключения серверов авторизации Electronic Arts пообещали выпустить патч, убирающий DRM из игры.",kurokikaze
"Питер Симонсен с командой инженеров из Дании разработали новую технологию трехмерного изображения, Cheoptics360, позволяющую проецировать трёхмерные объекты или видео в воздухе. Демонстрационные прототипы Cheoptics напоминают голографические проекторы из фантастических фильмов.



Cheoptics360 использует четыре 3D-проектора, проецируемые изображения собираются в одно внутри прозрачной призмы-пирамиды, отображающей висящее в воздухе видео.

Прототип может показывать компьютерную анимацию и фильмы, и масштабировать их в размере от полутора до тридцати метров.



",kurokikaze
"Несколько недель назад один доктор из моей лаборатории зашёл на Амазон чтобы купить копию книги Питера Лоуренса The Making of a Fly — классический труд по биологии развития, с которым мы — и другие биологи, работающие с дрозофилами — сверяемся регулярно. Книга, вышедшая в 1992 году, уже не переиздаётся. Но на Амазоне было в продаже 17 копий: 15 использованных от $35.54 и две новых, от $1,730,045.91 (+$3.99 за доставку).


Я отправил скриншот автору книги — который был очень удивлён и заинтригован. Но думаю даже он не стал бы настаивать, что книга стоит ТАК дорого.

Сначала я подумал что это чья то шутка — какой нибудь бывший студент, которому некуда девать время. Но в продаже было сразу две копии, каждая более чем за миллион долларов. И два продавца выглядели не только вполне честными, но и достаточно известными (более 8 000 и 125 000 рейтингов за последний год соответственно). Цены выглядели случайными — похоже, они были выставлены компьютером. Но как они достигли таких значений?

К моему удивлению, когда я перезагрузил страницу на следующий день, цены ещё больше поднялись! Каждая книга стоила почти $2.8 миллиона, разница цен была меньше $5000. Теперь и я заинтересовался ситуацией, и начал внимательно следить за страницей. К концу дня более дорогая копия ещё больше поднялась в цене. Теперь она стоила $3,536,675.57. Наконец стала вырисовываться общая картина.

В тот день когда мы обнаружили многомиллионные цены, копия от bordeebook стоила в 1.270589 раз дороже копии от profnath. И теперь копия bordeebook была дороже копии profnath В 1.270589. Очевидно, как минимум один из участников выставлял цену автоматически в ответ на изменение цены у другого. Я продолжил наблюдать и вскоре понял весь процесс целиком.

Раз в день profnath устанавливал цену в 0.9983 раз от цены bordeebook. Цены оставались в таком положении несколько часов, пока bordeebook не «замечал» изменение цены profnath и не поднимал свою цену в 1.270589 раз от максимальной цены profnath. В таком порядке события продолжались в том же порядке всю следующую неделю.

Но оставались ещё два вопроса. Зачем они это делали и как долго это будет продолжаться пока кто нибудь не заметит? Пока я с удивлением наблюдал за ежедневным ростом цен, я узнал что продавцы на Amazon все больше пользуются алгоритмами установки цены (сам Амазон делает то же самое в гораздо больших масштабах), с несколькими компаниями предлагающими продавцам сервисы/алгоритмы для определения оптимальной цены. И profnath и bordeebook явно использовали автоматическую установку цен — при этом применяя алгоритмы, не имеющие встроенной проверки «на вменяемость» устанавливаемой цены. Но эти продавцы явно использовали разные стратегии.

Поведение profnath понять легко. У них скорее всего есть новая копия книги, и они хотят быть уверены в том что их цена — самая низкая, но совсем ненамного отличается от следующей ($9.98 против $10.00). Зачем bordeebok было выставлять цену выше? Так как система показывает цены всех продавцов, было похоже что им гарантировано отсутствие продаж. Но возможно это не совсем так — у них огромное количество позитивных отзывов, гораздо больше чем у остальных продавцов. А некоторые покупатели наверняка готовы заплатить несколько лишних долларов за уверенность в том что покупка действительно пройдёт успешно. Всё равно, это довольно странная и рискованная стратегия, чтобы на неё полагаться — большинство людей, скорее всего, так не действуют — и книга всё это время будет собирать пыль на полке. Естественно, кроме случая когда книги у Вас на самом деле нет...

Моё объяснение поведению bordeebook состоит в том что книги у них на самом деле нет. Вместо этого, они заметили что кто то другой выставил тот же том на продажу, и выставили его тоже — надеясь на большее количество отзывов для привлечения покупателей. Естественно, если кто то закажет книгу, им придётся её достать — поэтому им пришлось выставить свою цену больше — к примеру в 1.27059 раз больше — цены, по которой они эту книгу купят у другого продавца.

Больше всего в этой ситуации удивляет бесконечное количество возможного хаоса и проблем. Вряд ли мы наткнулись на единственный пример постоянно восходящей спирали цен — и всё что для неё потребовалось это два продавца, изменяющие свою цену в соответствии с ценой другого в пропорции, в итоге приводящей к общему увеличению цены. И хотя это может быть труднее просчитать, можно придумать другие странные сценарии, которые могут произойти если количество участвующих продавцов станет больше двух. Когда я понял что именно происходит, я и некоторые люди с которыми я говорил стали придумывать способы использовать нашу способность предсказывать установку продавцом цен с точностью до пяти знаков после запятой — особенно когда цена устанавливалась без проверок.

Однако, скоро кто то заметил проблему. Цена достигла пика 18 апреля, но уже 19 апреля цена у profnath упала до $106.23 и borderbook скоро установил предсказуемую цену в $106.23 * 1.27059 = $134.97. Но Питер Лоуренс теперь может спокойно хвастать о том что одна из самых больших и уважаемых компаний на Земле оценила его книгу в $23,698,655.93 (плюс $3.99 за доставку).

",kurokikaze
"Привет, Хабр!

Спешу поделиться хорошей новостью. Сегодня стала доступна IntelliJ IDEA 2016.3 – очередное крупное обновление нашей (и, хочется надеяться, вашей) любимой Java IDE. Читайте ниже об основных изменениях и нововведениях.



Java 8
С релиза Java 8 IntelliJ IDEA предоставляет инспекции, помогающие писать корректный и идиоматический Java 8. В IntellIJ IDEA 2016.3 эти инспекции были серьезно переработаны, расширив область применения за рамки тривиальных примеров. Теперь, если вы нажмете Alt+Enter внутри нетривиального for цикла, IDE предложит переписать его с использованием Stream API. При этом IDE будет опираться на практически все доступные API: count, sum, flatMap, map, mapToInt, collect, filter, anyMatch, findFirst, toArray и другие. Примечание: похожая инспекция доступна для Kotlin. Также IDE предложит заменить соответствующие конструкции на Map.computeIfAbsent, Collections.removeIf или ThreadLocal.withInitial там, где это имеет смысл.



Scala
Scala.js
Обновленный Scala плагин теперь предоставляет навигацию и автодополнение для js.Dynamic – на основе переменных и методов, объявленных в JavaScript библиотеках или файлах проекта.

scala.meta
Также плагин получил поддержку scala.meta. IntelliJ IDEA поддерживает “новые” макро-аннотации и предоставляет помощь при редактировании scala.meta quasiquotes.

JVM отладчик
Class-level Watches
Эта новая мощная функция отладчика позволяет добавлять Watch выражения на уровне классов. Эти выражения выглядят как поля классов, однако их значения определяются самими выражениями. Выражения указываются в контексте класса.



Memory View
Этот новый плагин позволяет исследовать объекты в памяти JVM при отладке кода. Плагин показывает количество объектов в памяти, с группировкой по имени класса. По мере того как вы перемещаетесь во время отладки по коду, колонка Diff показывает как это количество меняется. Двойной клик на классе откроет диалог с объектами. Также плагин позволяет отслеживать stacktraces создания объектов.



Интерфейс
Подсказки имен параметров методов
Опция Parameter Hints (включена по-умолчанию) показывает имена параметров методов, если в качестве аргументов используются литералы или null. Такие подсказки делают код более читаемым. Если подсказки для каких-то методов избыточны, вы можете попросить IDE не показывать их.



Семантическая подсветка
Ранее появившийся в KDevelop и некоторых других IDE, Semantic highlighting теперь доступен в IntelliJ IDEA. Эта опция добавляет в стандартную подсветку уникальные цвета для каждого параметра и локальной переменной. Эта опция выключена по умолчанию, но может быть включена в Settings → Editor → Colors & Fonts → Language Defaults → Semantic highlighting.



Иконки
Иконки файлов и папок стали плоскими. Новые иконки стали четче и менее отвлекающими.

Инструменты сборки
Delegate IDE build/run actions to Gradle
Эта новая опция позволяет делегировать такие действия IDE как Build, Build Artifacts и Run напрямую Gradle. Когда эта опция включена, IDE вместо стандартных действий вызывает соответствующие Gradle-таски. Включить эту опцию можно в Settings → Build, Execution, Deployment → Build Tools → Gradle → Runner → Delegate IDE build/run actions to Gradle.

Gradle Composite Builds.
Эта новая мощная опция позволяет заменить любую из зависимостей проекта другим проектом. Эта опция требует Gradle 3.1 или старше.

Polyglot Maven
Теперь pom.xml можно писать на Groovy, Scala, Ruby и других языках. (Примечание: подсказки при редактировании pom.xml доступны только для Groovy.)

Контроль версий
Log для Git и Mercurial
Окно Log снова переработано, в этот раз – с целью повышения эргономичности и скорости работы. Панель подробных изменений сместилась вправо, освободив больше места. Описание изменений теперь выровнены и более читаемы. Метки с тегами и названиями веток сместились вправо и отображаются более элегантно. Строка поиска сохраняется между запусками IDE. Для Git поиск по тексту, автору и пути стал гораздо быстрее.

Merge и Diff
Окно Merge теперь может разрешать конфликты автоматически там, где это возможно. В таких случаях слева будет отображаться иконка Resolve с волшебной палочкой. Также мы добавили маркеры, отражающие изменения, которые будут применены поверх базовой ревизии. Кроме этого, и Merge и Diff теперь предлагают подсветку синтаксиса и навигацию для “не-базовых” ревизий.



Также добавлено управление удаленными репозиториями. 

JavaScript
ECMAScript 6
IntelliJ IDEA позволяет автоматически конвертировать переменные объявленные var в const/let в зависимости от семантики их использования. 



Для всех вызовов require, IDE предложит автозамену на import. 



Для всех классов, объявленных с помощью функций и цепочек prototype, IDE предложит автозамену на полноценные классы. 



TypeScript
Исправлена проблема переименования наследуемых методов.

Flow
Теперь, если вы укажете Flow в качестве версии JavaScript, а также укажете путь к дистрибутиву Flow, заработают соответствующие инспекции (и в некоторых случаях автодополнения).

Серверы приложений
TomEE 7
Поддержка TomEE была обновлена до последней версии.

Liberty
Теперь IDE позволяет запускать loose applications. Для этого на закладке Deployment в окне WebSphere Run/Debug configuration вместо артефакта выберите Loose application….

React Native
Теперь запускать и отлаживать React Native приложения можно для OS X и Android прямо из IDE.



Android
Blueprint

Это новый режим в Designer, который скрывает визуальные элементы компонентов и отражает только их структуру.

Constraint Layout
Это мощный новый layout manager, который позволяет создавать сложные структуры интерфейса, используя плоскую структуру.

Instant Run
Согласно информации от команды Android Tools, обновление исправляет большое количество проблем, связанных с работой Instant Run. Теперь Instant Run должен работать более стабильно.

APK Analyzer
Эта утилита позволяет анализировать содержимое APK.

Базы данных
Редактирование нескольких ячеек
Теперь вы можете выделить несколько ячеек и редактировать их одновременно.

Пакетная отправка изменений
Теперь изменения в таблице отправляются не сразу, а по нажатию Ctrl+Enter (Cmd+Enter для OS X) – целыми пакетами. Используйте Undo, чтобы откатить неотправленное изменение.

Поиск использований
Теперь вы можете искать использование объектов базы данных в исходном коде других объектов баз данных. Например, вы можете узнать, какие процедуры, функции, отображения и триггеры используют выбранную таблицу.



Clouds
Google Cloud Tools
Google представила собственный плагин для деплоя приложений в Google Cloud. Позже этот плагин полностью заменит плагин JetBrains для работы с Google App Engine.

OpenShift Origin (V3)
Плагин для работы с OpenShift теперь поддерживает новую версию OpenShift.

Toolbox App
Не забудьте взглянуть на Toolbox App — новое десктопное приложение для удобной установки и обновления любых IDE от JetBrains.



Это вкратце все, что команда успела сделать за 4 месяца, не считая багфиксов. 

Подробности, скриншоты и видео о релизе можно найти на странице What’s New (на английском). Там же можно скачать обновление.

Как всегда, буду рад ответить на любые вопросы.",andreycheptsov
"Вчера стала доступна IntellIJ IDEA 2016.3 EAP – программа “раннего” доступа к обновлению, запланированному на эту осень. 


Для справки. Официально программа называется Early Access Program. На практике это аналог alpha-версии. Обновления появляются в среднем с недельной периодичностью. Каждый желающий может установить дистрибутив, попробовать новые функции и поделиться своим мнением и идеями в трекере.

В этом посте я расскажу о главных нововведениях, которые уже доступны в EAP-билде.

Отладчик
Class-level watches

Отслеживание значений выражений стало удобнее. Теперь выражения можно объявлять не только глобально, но и на уровне конкретных классов. Эти выражения будут отображаться аналогично полям класса. 



Выражения указываются в контексте экземпляра класса.

Отображение примитивных типов

Теперь Java Type Renderers можно объявлять и для примитивных типов, включая массивы.



Анализ содержания памяти

С помощью нового плагина JVM Debugger Memory View, во время отладки вы можете исследовать содержание памяти.

Окно инструментов Memory View отображает количество экземпляров каждого класса. Чтобы открыть окно инструментов, воспользуйтесь главным меню: View → Tool Windows → Memory View. 

Колонка Diff отображает как количество экземпляров изменилось с момента предыдущей остановки. Таким образом вы можете следить за созданием новых экземпляров.



Двойной клик на строчке класса откроет список экземпляров этого класса. Mark Object, Evaluate Expression, Add to Watches и другие операции отладки доступны применимы к любому экземпляру в этом списке.



Catch class filter

Следующее улучшение касается отладки исключений. Теперь вы можете задать границы Exception Breakpoint, указав пакеты, в которых это исключение ловится, – иначе говоря, в которых стоит try-catch выражение.



Контроль версий
Отмена коммита

Откатить последний неопубликованный коммит теперь можно одним кликом: выделите его в закладке Log и вызовите Undo Commit из контекстного меню. Действие эквивалентно команде “git reset --soft HEAD^”. Это значит, что изменения не пропадут, а перейдут в Local Changes.



Удаление веток

Теперь если вы удаляете локальную ветку, IDE предложит также удалить ветку, на которую она ссылается, либо откатить удаление.



Sign-off commit

Диалог Commit Changes теперь предоставляет опцию Sign-off commit. 

File colors

Теперь в диалогах и окнах инструментов контроля версий каждый файл подсвечивается в соответствии с настройками File Colors.



Интерфейс
Recent tests

Теперь вы можете нажать Ctrl+Shift+; (Cmd+Shift+; для OS X) и увидеть список последних тестов. Список содержит как последние успешные конфигурации тестов так и неуспешные индивидуальные тесты. Enter–запуск теста; F4–переход к коду.



Текстовый поиск

Теперь, если вы вызываете Find in Path из редактора, настройки сохраняют указанные ранее значения, а не сбрасываются как раньше.

Java
Лямбда выражения в File Structure

Попап и окно инструментов Structure теперь могут показывать лямбда выражения, если соответствующая настройка включена. Включить ее можно нажав Ctrl+L (Cmd+L для OS X).



Некоторые интеншены стали инспекциями

Основное отличие инспекций от интеншенов заключается в том, что инспекции можно применить сразу на многих файлах. Мы выбрали ряд интеншенов, для которых это имеет смысл, и сделали из них инспекции: в частности Lambda can be replaced with anonymous class и Diamond can be replaced with explicit type arguments.



Настройки инспекции unused declaration

В инспекцию Unused declaration добавлены настройки Members to report. Теперь вы можете выбрать, на какие члены класса и модификаторы испекция будет распространяться.

Иерархия мета аннотаций

Окно инструментов Type Hierarchy теперь работает и для мета-аннотаций и позволяет видеть их иерархию. Это может быть особенно полезно для Spring или, например, JUnit 5.

JavaScript and CSS
Flow

Теперь, если вы указали Flow в качестве версии JavaScript, вы начнете получать сообщения о проблемах в коде прямо в редакторе для тех файлов, которые аннотированы ""//  flow"".



Чтобы это работало, не забудьте указать путь к локально установленному Flow в Settings → Languages & Frameworks → JavaScript → Flow.

Переименование методов в TypeScript

Переименование методов в TypeScript стало безопасным: 


Если метод наследует или переопределяет метод из других классов/интерфейсов, IDE предложит переименовать базовые методы; 
Если, существуют другие методы, переопределяющие или наследующие переименовываемый метод, IDE переименует и их.




Генерация кода Angular 2

Инструмент Angular CLI теперь интегрирован в попап Generate New, доступный по Alt+Ins (Cmd+N для OS X).



PostCSS

Для PostCSS теперь есть плагин. Установив плагин, вы получите подсказки, форматирование, навигацию, инспекции, переименование и другие функции предлагаемые для обычного CSS.



Группировка генерируемых файлов

В окне инструментов Project генерируемые файлы теперь группируются вместе с исходными файлами (если они в той же директории): например, "".css"", "".css.map"" и "".sass""; "".js"", "".js.map"" и "".ts""; и т.п.

Кроме нововведений обновление конечно же содержит массу багфиксов. Пока это все. Свежие EAP билды будут появляться каждую неделю.

Если обнаружите баги, пожалуйста сообщайте о них в наш трекер.

Ссылка на скачку EAP-билд: https://confluence.jetbrains.com/display/IDEADEV/IDEA+2016.3+EAP.

Буду рад ответить на вопросы.

Программируйте с удовольствием!",andreycheptsov
 ,Ekamelev
"
Как-то очень тихо и беспомпезно, не так давно, вновь ожил сайт одной из самых сложных и глубоких roguelike игр — ADOM. В roguelike-мире время течет нелинейно, на фоне глубочайшего оттачивания и тестинга, случаются прорывы.

В частности, наконец-то можно нативно играть в ADOM на Mac (скачать). Ура-ура, это то чего мы ждали последние 5 лет, это то ради чего мы кликали по Амазоновским баннерам, что бы помочь автору. Свершилось, в общем :)

Во-вторых, Томас опять взялся за JADE — java-движок для ADOM. Собственно, как по мне, лучше бы JADE так на всегда и оставался в глубокой альфе. Потому что, без сомнения, исход мира предрешен, и Вселенная однозначно сколлапсирует как JADE-подмножество когда будет поставлен последний end и подледная точка.

Вот такие новости. До встречи лет эдак через десять — поговорим о новой версии ADOM, посмеемся над процессом разработки JADE :) Приятно что есть в мире такие точки оттолкновения.

Да… время в roguelike-мире течет нелинейно… И очень неторопливо — turn-based.",r13
" В последнее время на слуху феномен «муков» (MOOC) – массовых открытых онлайн курсов. Платформ для них создано большое множество. 

Есть мнение, что MOOC – это книги нового поколения (с видео, интерактивными задачами и социальной составляющей), которые одновременно «читают» десятки тысяч человек. Можно долго сравнивать «муки» с классическим образованием и спорить об их эффективности, но полезно воспринимать их как совершенно другой формат, очевидно со своими плюсами и минусами. 

При этом у онлайн образования есть большое концептуальное отличие от оффлайн образования – его проще измерить. А всё, что можно измерить, можно улучшить.

В этом посте я поделюсь личными соображениями о том, куда движется онлайн образование на примере MOOC-ов, в том числе по мотивам посещения Coursera Partners' Conference, прошедшей 4 недели назад в Лондоне.

Дисклеймер
Если вы считаете, что я упустил что-то важное, добавляйте в комментариях. Если вы несогласны со мной в чём-либо, это замечательно, буду рад поддержать предметную дискуссию. Ниже я описываю тренды достаточно широко, поэтому при наличии интереса могу развернуть какой-либо из них глубже в отдельном посте с техническими деталями. Отдельно отмечу, что будучи инструктором курса на Coursera, я рассматриваю онлайн образование в том числе со стороны преподавателей, а не только студентов.

Платформы
Для начала перечислю основные международные MOOC-платформы (в целях расширения кругозора):

коммерческая Coursera, всем известный пионер
некоммерческая EdX от Harvard и MIT, в том числе их движок с открытым исходным кодом Open edX, а также анонсированный (но ещё не запущенный) агрегатор edX-ов mooc.org от Google
коммерческая Udacity стартовала в конкуренции с Coursera, но пошла по пути сотрудничества с компаниями вместо университетов, создают более прикладные курсы
нацеленная на курсы с большой социальной составляющей NovoEd
Canvas Network от компании Instructure, которая известна системой управления обучением Canvas
английская FutureLearn от Open University, придерживаются подхода mobile first
европейская iversity, чья стратегия выхода – продаться Coursera
и многие другие...

2 недели назад вышло неплохое сравнение Coursera, edX и NovoEd с точки зрения преподавателя и университета. У Coursera пользователей больше, чем у всех остальных платформ вместе взятых, что зачастую оказывается решающим при выборе.

Дальше я буду рассказывать в основном про Coursera, потому что они являются пионерами по многим направлениям, тогда как остальные платформы идут по их стопам. Хотя у каждой платформы есть свои отличия и приятные особенности… 

Читателям может быть интересно также взглянуть на Open edX Public Product Roadmap. К сожалению, Coursera Product Roadmap не доступен широкой публике.

Тренды
Данные и аналитика

MOOC-платформы собирают данные о поведении и успехах студентов, но до сих пор эти данные практически никак не применяются и не интерпретируются. Дафни Коллер (со-основательница Coursera) ещё в 2012-м году рассказывала на TED, что данные вот-вот совершат революцию в образовании, «а воз и ныне там». Основная сложность – образование очень разное, и не существует понятной метрики, которую необходимо оптимизировать. На конференции Coursera представила новую панель данных для преподавателей курсов, которая намного лучше доступной ранее выгрузки сырых данных, но всё равно далека от идеала.

Научное направление Educational Data Mining ранее использовало результаты экзаменов и социологических опросов школьников / студентов / преподавателей, а поэтому было довольно скучным. Сейчас учёные буквально утопают в данных «муков». Их анализ приводит нас к лучшему пониманию того, как люди учатся. Вероятно, в будущем мы будем наблюдать процесс улучшения качества онлайн образования аналогично тому, как наблюдали процесс улучшения качества поиска в интернете последние 15 лет. Я лично верю, что в какой-то момент в каких-то областях онлайн образование станет эффективнее оффлайн образования. Но это отдельная тема для холивара…

Кстати, одно из основных предназначений проекта edX по словам создателей – развивать педагогические исследования. Анонимизированные данные студентов edX распространяются между всеми университетами-партнерами, чтобы каждый университет мог вести независимые исследования на эту тему. И они ведут. Скриншот выше из проекта аспирантки UC Berkeley для edX.

Специализации
Группы курсов, связанные общей темой и датами. Что-то среднее между классическим многолетним образованием и короткими онлайн курсами. Повышают мотивацию, так как становится понятна конечная цель обучения. Лучше монетизируются, чем единичные курсы.

 Смешанное обучение
Университеты начинают применяет свои онлайн курсы для своих же студентов в формате SPOC (small private online course). Это делали и мы. Обычно это совмещается с практическими занятиями и проектами оффлайн, тогда как видеолекции и задачи с автоматизированной проверкой студенты проходят онлайн. 

Помимо SPOC используются понятия blended learning, flipped classroom, hybrid learning, хотя зачастую ими обозначают одно и тоже. Но формально термин SPOC относится только к онлайн компоненте в смешанном обучении. Основное отличие от вебинаров – SPOC, как впрочем и MOOC, может масштабироваться (больше студентов, перезапуски каждый семестр) без дополнительных затрат времени и сил со стороны преподавателя.

Также, в прошлом году Coursera запустила программу Learning Hubs, стимулируя создание независимых оффлайн площадок для студенческих встреч и обсуждений материалов онлайн курсов.

Платформа для приложений
Возможно, это самый интересный пункт для хабрасообщества. Так как Coursera быстро увеличивает число курсов и партнёров, то их команда разработчиков просто не успевает реализовать всё, что может пригодиться преподавателям. Примеры: интерактивный конструктор интегральных схем, онлайн интерпретатор кода, визуализация процессов в клетке, задачи по биоинформатике. Поэтому Coursera планирует создать платформу для приложений, в которую разработчики смогут добавлять приложения, а преподаватели подключать их к своим курсам. 

Coursera анонсировала App Platform ещё на прошлогодней Coursera Partners' Conference, но только в марте была опубликована первая информация. Из доступного сейчас:


OAuth2-based APIs – API к платформе Coursera. Пока открыты только просмотр профиля и списка курсов пользователя, но постепенно будет добавлена и другая функциональность. Этот же API использует Coursera в своих мобильных приложений на iOS и Android.
Learning Tools Interoperability (LTI) Integration – протокол встраивания внешних образовательных плагинов в курсы Coursera. Мы используем этот протокол для интеграции Stepic с курсами на Coursera, например в недавно стартовавшем курсе Core Concepts in Data Analysis. Протокол позволяет аутентифицировать пользователей курсеровскими аккаунтами и передавать обратно их баллы за выполенные задания. Я расскажу о технических деталях (и граблях) интеграции в одном из следующих постов. LTI является независимым стандартом, поэтому также поддерживается платформами Open edX, Canvas и другими.
Catalog API – полный каталог курсов, который можно грабить и использовать в своих агрегаторах / поисковиках по курсам.
Shibboleth / SAMLv2 – способ авторизации на Coursera по университетским аккаунтам. Shibboleth широко используется в американских вузах, например, в University of California, но малоизвестен и практически бесполезен в России.


За кадром остались



Не были затронуты такие важные темы, как:

формальная сертификация
мотивация пользователей и геймификация
социальная составляющая курсов, общение с преподавателем и сообществом, peer review
мобильные устройства (пример: в Африке больше посещают мобильное приложение Coursera, но там нет форума)
локализация и переводы курсов, межкультурное взаимодействие в рамках курса
интеллектуальная собственность (кому принадлежит курс и данные пользователей, лицензирование курсов)
конфиденциальность и защита данных
монетизация и устойчивые бизнес-модели

Послесловие
Некоторые факты с конференции ещё помнит твиттер по хэштегу #coursera14.

Для интересующихся научной стороной вопроса, доступны 293-страничные труды (тяжелый pdf) конференции EMOOCs 2014, проходившей в феврале в Швейцарии. Материалы Coursera Partners' Conference на данный момент не доступны.

Если вы дочитали до этой строки, и вам до сих пор нравится, то через три дня (1-3 мая) мы с JetBrains и Edutainme проводим в Петербурге хакатон по разработке инструментов в образовании, где можно будет в окружении единомышленников покодить образование к лучшему, приходите. Я там буду все дни и смогу помочь советом, а также обсудить перспективы онлайн образования за пиццей.",vyahhi
